DATA ENTRADA;DATA ULTIMA SAIDA;;LOJA/FILIAL;;;ADULTO/INFANTIL;;;GENERO;NUMERACAO/CALC;;ENTRADA ESTOQUE;TOTAL DE SAIDA;ID_PROD;NOME PROD;COLEÇÃO;;;VALOR UNITARIO;VALOR REPASSE
02/01/2017;27/01/2017;25;Infantil;;;adulto;;;masculino;43;;346;72;7238;BLUSA HAVAIANAS VOL LAT DEGRADE ARROZ   ;outono;;; R$ 21,90 ; R$ 36,90 
02/01/2017;08/01/2017;6;Infantil;;;infantil;;;feminino;24;;155;87;5215;BIQUINI BOTTOM HAVAIANAS ARGOLA BRO     ;verao;;; R$ 16,90 ; R$ 25,90 
02/01/2017;15/01/2017;13;Infantil;;;infantil;;;unisex;26;;330;41;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;;; R$ 19,00 ; R$ 25,90 
02/01/2017;05/02/2017;34;Infantil;;;infantil;;;feminino;16;;54;88;7235;BLUSA HAVAIANAS Y MIX                   ;outono;;; R$ 21,90 ; R$ 36,90 
02/01/2017;10/01/2017;8;franquia;;;infantil;1;infantil;masculino;12;;165;83;7234;BLUSA HAVAIANAS TRANSPASSADO MIX        ;outono;1;verao; R$ 16,00 ; R$ 26,90 
02/01/2017;16/01/2017;14;Infantil;;;infantil;2;adulto;masculino;13;;144;68;5218;BIQUINI BOTTOM HAVAIANAS HIBISC         ;verao;2;inverno; R$ 19,00 ; R$ 25,90 
02/01/2017;22/01/2017;20;Infantil;1;Infantil;adulto;;;unisex;44;;265;46;7229;BLUSA HAVAIANAS TS REDE CESTARIA        ;outono;3;outono; R$ 16,90 ; R$ 26,90 
02/01/2017;28/01/2017;26;franquia;2;franquia;adulto;1;feminino;feminino;37;;258;76;8262;CAPA HAVAIANAS SIL CELULAR 4            ;edição limitada;4;edição limitada; R$ 25,90 ; R$ 32,90 
02/01/2017;05/01/2017;3;franquia;;;adulto;2;masculino;unisex;32;;62;79;8256;CHAVEIRO HAVAIANAS LOGO METAL MOSQUETÃO ;edição limitada;;; R$ 32,90 ; R$ 42,90 
02/01/2020;01/02/2020;30;franquia;;;adulto;3;unisex;unisex;44;;80;89;6226;SANDALIA HAVAIANAS KIDS RADICAL         ;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;15/01/2017;13;Infantil;;;adulto;;;feminino;30;;210;57;7235;BLUSA HAVAIANAS Y MIX                   ;outono;;; R$ 21,90 ; R$ 36,90 
02/01/2017;14/01/2017;12;Infantil;;;infantil;;;unisex;28;;171;56;8254;MEIA HAVAIANAS COOL                     ;edição limitada;;; R$ 32,90 ; R$ 42,90 
02/01/2020;03/02/2020;32;franquia;;;adulto;;;masculino;30;;99;74;6226;SANDALIA HAVAIANAS KIDS RADICAL         ;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2020;16/01/2020;14;Infantil;;;adulto;;;masculino;45;;82;51;6221;SANDALIA HAVAIANAS JOY         ;inverno;;; R$ 15,90 ; R$ 26,90 
02/01/2017;06/02/2017;35;franquia;;;infantil;;;masculino;12;;321;38;5220;BIQUINI BOTTOM HAVAIANAS HIBISCO GI     ;verao;;; R$ 16,00 ; R$ 25,90 
02/01/2017;07/02/2017;36;Infantil;;;infantil;;;masculino;18;;55;83;8258;TOALHA HAVAIANAS ANIMALS                ;edição limitada;;; R$ 32,90 ; R$ 42,90 
02/01/2017;26/01/2017;24;franquia;;;infantil;;;feminino;23;;317;77;7240;BLUSA M/C HAVAIANAS JAPONESA            ;outono;;; R$ 21,90 ; R$ 36,90 
02/01/2020;07/01/2020;5;franquia;;;adulto;;;masculino;44;;238;56;6225;SANDALIA HAVAIANAS KIDS STARS;inverno;;; R$ 20,90 ; R$ 36,90 
02/01/2017;10/01/2017;8;Infantil;;;infantil;;;unisex;11;;206;87;7231;BLUSA HAVAIANAS OMBRO DESL REDE CESTARIA;outono;;; R$ 16,90 ; R$ 26,90 
02/01/2017;11/01/2017;9;franquia;;;infantil;;;masculino;26;;61;75;8257;MEIA HAVAIANAS FRESH                    ;edição limitada;;; R$ 32,90 ; R$ 42,90 
